iter	Logloss
0	0.6827051955
1	0.672535983
2	0.6627202502
3	0.6544367334
4	0.6460373927
5	0.6388371556
6	0.631052439
7	0.6235671321
8	0.6172240254
9	0.6099076674
10	0.602580542
11	0.5971863512
12	0.5913516124
13	0.5853621657
14	0.5805446268
15	0.5759248579
16	0.5717983554
17	0.5675563273
18	0.5634151733
19	0.5584557557
20	0.5549692952
21	0.5508461687
22	0.5474236482
23	0.5436967578
24	0.5406129396
25	0.5372361459
26	0.5338342649
27	0.5306370955
28	0.5278811967
29	0.5247050853
30	0.5217439703
31	0.519127112
32	0.5168908833
33	0.5148274732
34	0.5125254347
35	0.5098007302
36	0.5076291704
37	0.5051924242
38	0.503129518
39	0.5013251701
40	0.4994845655
41	0.4980573832
42	0.4964291569
43	0.4951733687
44	0.4938086483
45	0.4924034961
46	0.4910732021
47	0.4900668592
48	0.4889452413
49	0.4874749517
50	0.4859943794
51	0.4848895586
52	0.4837419527
53	0.4826977714
54	0.4815074165
55	0.4804568606
56	0.4793562353
57	0.4783323788
58	0.4776622568
59	0.4769837775
60	0.4761130946
61	0.4754605163
62	0.4746289209
63	0.4741623644
64	0.473311941
65	0.472565014
66	0.4718664831
67	0.4712980585
68	0.4705133653
69	0.4697838805
70	0.4692100865
71	0.4684999037
72	0.4676577171
73	0.467183402
74	0.4666241385
75	0.4659090771
76	0.4654416856
77	0.4649837194
78	0.4646105763
79	0.4642952676
80	0.4640656115
81	0.4637222582
82	0.4630835527
83	0.4624839393
84	0.4621689635
85	0.4618317421
86	0.461209239
87	0.4605489358
88	0.4604247595
89	0.4599873212
90	0.4595848648
91	0.4591227554
92	0.4585960082
93	0.4582353554
94	0.4577838104
95	0.4576231706
96	0.4573936171
97	0.4571462752
98	0.4568093484
99	0.4564344904
100	0.4559904887
101	0.4557150619
102	0.4553757512
103	0.4550966948
104	0.454859948
105	0.4546066161
106	0.4543686116
107	0.4539329953
108	0.4536412663
109	0.4534763919
110	0.4532235714
111	0.4530396254
112	0.4526868328
113	0.4525242993
114	0.4523572156
115	0.4521771393
116	0.4520152041
117	0.4518491656
118	0.4516296857
119	0.4513849929
120	0.4511350113
121	0.4509578848
122	0.4507965097
123	0.4506811529
124	0.4504865939
125	0.4503668037
126	0.4502134382
127	0.4500626889
128	0.4499422599
129	0.4498268557
