iter	Passed	Remaining
0	5	5466
1	10	5296
2	15	5168
3	21	5249
4	26	5247
5	31	5239
6	37	5258
7	42	5306
8	48	5302
9	54	5439
10	61	5525
11	67	5548
12	73	5548
13	78	5538
14	84	5550
15	90	5542
16	96	5556
17	101	5539
18	107	5541
19	113	5555
20	119	5555
21	124	5545
22	130	5537
23	135	5510
24	141	5522
25	147	5516
26	153	5533
27	158	5517
28	164	5505
29	169	5490
30	175	5483
31	180	5474
32	186	5469
33	192	5469
34	198	5467
35	204	5468
36	209	5461
37	215	5446
38	220	5434
39	226	5430
40	231	5415
41	236	5404
42	242	5400
43	248	5400
44	254	5393
45	259	5374
46	264	5366
47	270	5355
48	275	5352
49	281	5356
50	287	5344
51	292	5338
52	298	5335
53	304	5325
54	309	5320
55	315	5324
56	321	5317
57	326	5303
58	332	5296
59	337	5289
60	343	5289
61	348	5273
62	354	5265
63	359	5259
64	365	5254
65	371	5250
66	377	5251
67	382	5246
68	389	5248
69	394	5246
70	400	5246
71	406	5239
72	412	5236
73	418	5236
74	423	5225
75	429	5223
76	435	5216
77	441	5214
78	446	5210
79	452	5205
80	459	5208
81	465	5208
82	471	5205
83	476	5199
84	482	5194
85	488	5194
86	494	5190
87	500	5185
88	504	5169
89	510	5164
90	516	5161
91	522	5154
92	527	5147
93	533	5145
94	539	5142
95	544	5125
96	550	5127
97	556	5120
98	562	5118
99	567	5110
100	573	5104
101	579	5102
102	585	5098
103	591	5095
104	597	5093
105	602	5085
106	609	5083
107	615	5080
108	620	5074
109	626	5071
110	632	5064
111	637	5057
112	643	5050
113	649	5046
114	655	5043
115	661	5038
116	667	5034
117	673	5030
118	678	5021
119	683	5014
120	689	5008
121	695	5002
122	701	5000
123	706	4993
124	712	4987
125	717	4979
126	723	4975
127	729	4969
128	735	4964
129	740	4957
130	747	4956
131	752	4950
132	758	4945
133	764	4942
134	770	4936
135	776	4931
136	782	4926
137	787	4920
138	793	4915
139	798	4907
140	804	4899
141	809	4893
142	814	4883
143	820	4879
144	826	4874
145	832	4866
146	837	4860
147	843	4855
148	848	4848
149	854	4840
150	859	4833
151	865	4825
152	870	4816
153	875	4807
154	880	4801
155	885	4792
156	891	4785
157	896	4778
158	902	4772
159	908	4768
160	913	4762
161	919	4754
162	924	4746
163	930	4741
164	935	4736
165	941	4731
166	945	4714
167	950	4709
168	956	4702
169	962	4698
170	968	4693
171	973	4685
172	978	4679
173	984	4673
174	989	4666
175	995	4658
176	1000	4653
177	1006	4649
178	1012	4642
179	1017	4635
180	1023	4630
181	1029	4625
182	1034	4618
183	1040	4612
184	1045	4607
185	1051	4601
186	1057	4598
187	1062	4590
188	1068	4585
189	1074	4579
190	1079	4573
191	1085	4567
192	1090	4561
193	1095	4551
194	1101	4547
195	1107	4542
196	1113	4537
197	1118	4532
198	1124	4524
199	1129	4518
200	1135	4512
201	1140	4507
202	1146	4500
203	1151	4494
204	1157	4489
205	1161	4477
206	1167	4471
207	1173	4467
208	1178	4460
209	1184	4456
210	1189	4449
211	1195	4443
212	1200	4436
213	1205	4429
214	1210	4421
215	1216	4416
216	1222	4410
217	1228	4405
218	1233	4400
219	1239	4395
220	1245	4390
221	1251	4384
222	1256	4377
223	1261	4369
224	1266	4363
225	1272	4358
226	1278	4353
227	1282	4342
228	1288	4338
229	1293	4330
230	1299	4324
231	1304	4319
232	1310	4314
233	1315	4307
234	1321	4303
235	1327	4296
236	1332	4289
237	1338	4284
238	1343	4279
239	1349	4274
240	1355	4269
241	1361	4265
242	1367	4259
243	1372	4252
244	1378	4246
245	1383	4240
246	1388	4234
247	1394	4229
248	1400	4223
249	1405	4217
250	1411	4211
251	1417	4206
252	1423	4203
